Robert Baratheon, man
Robert Baratheon, husband, Cersei Lannister
Robert Baratheon, father, Gendry
Gendry, man
Cersei Lannister, woman
Cersei Lannister, wife, Robert Baratheon
Cersei Lannister, mother, Joffrey Baratheon
Cersei Lannister, mother, Myrcella Baratheon
Cersei Lannister, mother, Tommen Baratheon
Joffrey Baratheon, man
Myrcella Baratheon, woman
Tommen Baratheon, man
Stannis Baratheon, man
Stannis Baratheon, husband, Selyse Baratheon
Stannis Baratheon, father, Shireen Baratheon
Shireen Baratheon, woman
Selyse Baratheon, woman
Selyse Baratheon, wife, Stannis Baratheon 
Selyse Baratheon, mother, Shireen Baratheon
Renly Baratheon, man
Renly Baratheon, husband, Margaery Tyrell
Margaery Tyrell, woman
Margaery Tyrell, wife, Renly Baratheon
Steffon Baratheon, man
Steffon Baratheon, husband, Cassana Estermont
Steffon Baratheon, father, Robert Baratheon
Steffon Baratheon, father, Stannis Baratheon
Steffon Baratheon, father, Renly Baratheon
Cassana Estermont, woman
Cassana Estermont, wife, Steffon Baratheon
Cassana Estermont, mother, Robert Baratheon
Cassana Estermont, mother, Stannis Baratheon
Cassana Estermont, mother, Renly Baratheon
